x,y,c1,c2,c3
5200,20275,0.768700341543326,0.0158013392596987,0.152996524930339
5225,20225,0.70505182054118,0.017623919960767,0.231708858132743
5225,20250,0.72805637351152,0.0169835330936297,0.203185922219708
5225,20275,0.757060768213839,0.0161663706755007,0.166727778394715
5225,20300,0.794337329657885,0.0151173843074734,0.118841178804714
5250,20175,0.668589513382216,0.0186718686389605,0.276546962705069
5250,20200,0.682803672491403,0.0182946285178722,0.259091278478645
5250,20225,0.699019139094863,0.0178493320801006,0.239098113532696
5250,20250,0.717592364871383,0.0173266752474851,0.216055126972445
5250,20275,0.738416721646,0.0167319369115951,0.189978671578775
5275,20125,0.642781764681149,0.0193995556299582,0.308159421281252
5275,20150,0.653404278249704,0.0191449520961214,0.295178825577823
5275,20175,0.66485254043915,0.0188549789808105,0.281160321352134
5275,20200,0.677233113971519,0.0185252080458753,0.265958992498584
5275,20225,0.690601910030076,0.0181533877627506,0.249483505989814
5275,20250,0.704741695762658,0.0177465647797275,0.23197423511213
5275,20275,0.718734966734024,0.0173330627390932,0.214555549149869
5300,20075,0.622165172476546,0.0199470293441529,0.333327096396192
5300,20100,0.631049018851296,0.0197635015151269,0.322511645517202
5300,20125,0.640342985644494,0.0195589831541856,0.311184744601498
5300,20150,0.650048387498151,0.0193315475236627,0.299338546384569
5300,20175,0.660155172765422,0.0190788663307431,0.28697618044216
5300,20200,0.670634003758042,0.0187992853979305,0.274122102154306
5300,20225,0.681325705152807,0.0184954484649676,0.260960418299144
5300,20250,0.691804335752276,0.0181801120040413,0.248011423193717
5325,20050,0.612200205076676,0.0202427022491909,0.345471820597307
5325,20075,0.620389424450055,0.0200908022375539,0.335523000155275
5325,20100,0.628828281260187,0.0199239964354278,0.325265816047427
5325,20125,0.637481525385434,0.0197415559914158,0.314738705162579
5325,20150,0.646288841123191,0.0195433014796064,0.304010246604427
5325,20175,0.655114329412932,0.0193292549132012,0.293237290865951
5325,20200,0.663809920242934,0.0190987973544124,0.282590366209382
5325,20225,0.672165161235928,0.018852257104629,0.272316348324584
5325,20250,0.679836758287157,0.0185997890163979,0.262839816474098
5350,20000,0.595238510493671,0.0206297829926976,0.366072740470309
5350,20025,0.602746501880267,0.0205148006899009,0.356965953223773
5350,20050,0.610456442359205,0.0203882516115382,0.347615746688763
5350,20075,0.618355399387182,0.0202497711808649,0.338036162359677
5350,20100,0.626391603692917,0.02009990162443,0.328288613162012
5350,20125,0.63447144584568,0.0199398836246141,0.318484194716622
5350,20150,0.64247271226739,0.019771248279486,0.308767533404303
5350,20175,0.650184651671241,0.0195963168167569,0.299388215522109
5350,20200,0.657304322579281,0.0194159433611959,0.290702580333506
5350,20225,0.663645206230961,0.0192181712370835,0.28291226035587
5375,19950,0.57943888925797,0.0209478655557755,0.385226579688933
5375,19975,0.586437946249713,0.0208624418818069,0.376740040190003
5375,20000,0.593629308994498,0.0207669574337695,0.368024947854618
5375,20025,0.601002130866869,0.02066126534854,0.359094257346573
5375,20050,0.608531655603145,0.0205455046417014,0.349977639614476
5375,20075,0.616179880818112,0.0204202542844038,0.340720930141317
5375,20100,0.623883702706722,0.0202865589731485,0.331399767855445
5375,20125,0.631532749960637,0.0201468347684258,0.322147731180528
5375,20150,0.638945329705394,0.0200050321865772,0.313183783226865
5375,20175,0.645827284464549,0.0198677286809809,0.30486270424388
5375,20200,0.651674292418789,0.0197453276912226,0.297791208543011
5375,20225,0.655611011693141,0.01963973942496,0.292998605145736
5400,19900,0.564424476588661,0.0212089813901481,0.403413417535056
5400,19925,0.571011523194892,0.0211489833747945,0.395421785258353
5400,19950,0.57778037374926,0.0210800207444686,0.387215797032549
5400,19975,0.584725391016615,0.0210018693347161,0.378802568810066
5400,20000,0.591836441462781,0.0209144538405477,0.370194659785478
5400,20025,0.59909887253158,0.020817810635873,0.361409932283541
5400,20050,0.606484358035937,0.0207123850687257,0.352483144901325
5400,20075,0.61394949925235,0.0205990558549205,0.343467353765015
5400,20100,0.62142667085959,0.0204794242451983,0.334445119071481
5400,20125,0.628803596487763,0.0203564870042329,0.325553703031593
5400,20150,0.635913860190147,0.0202350397401845,0.316996436280919
5400,20175,0.642457456403116,0.0201245322846171,0.309140224389752
5400,20200,0.647909698385065,0.0200435522612289,0.302627972463856
5400,20225,0.651222955203632,0.0200375704260452,0.298752127011552
5425,19850,0.549989552563306,0.021419395094813,0.420898123262897
